"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US3906","Congressional District 6 (116th Congress), Ohio","694694","6537"
"5001600US3907","Congressional District 7 (116th Congress), Ohio","734091","8723"
"5001600US3908","Congressional District 8 (116th Congress), Ohio","731637","2063"
"5001600US3909","Congressional District 9 (116th Congress), Ohio","716235","10767"
"5001600US3910","Congressional District 10 (116th Congress), Ohio","725301","1247"
"5001600US3911","Congressional District 11 (116th Congress), Ohio","678001","12524"
"5001600US3912","Congressional District 12 (116th Congress), Ohio","789634","9907"
"5001600US3913","Congressional District 13 (116th Congress), Ohio","707603","11156"
"5001600US3914","Congressional District 14 (116th Congress), Ohio","720551","8821"
"5001600US3915","Congressional District 15 (116th Congress), Ohio","759569","9905"
"5001600US3916","Congressional District 16 (116th Congress), Ohio","719864","10469"
"5001600US4001","Congressional District 1 (116th Congress), Oklahoma","803029","2195"
"5001600US4002","Congressional District 2 (116th Congress), Oklahoma","747632","2727"
"5001600US4003","Congressional District 3 (116th Congress), Oklahoma","778026","3553"
"5001600US4004","Congressional District 4 (116th Congress), Oklahoma","791927","4788"
"5001600US4005","Congressional District 5 (116th Congress), Oklahoma","822465","3694"
"5001600US4101","Congressional District 1 (116th Congress), Oregon","858910","4940"
"5001600US4102","Congressional District 2 (116th Congress), Oregon","831343","3835"
"5001600US4103","Congressional District 3 (116th Congress), Oregon","841456","7814"
"5001600US4104","Congressional District 4 (116th Congress), Oregon","814998","4444"
"5001600US4105","Congressional District 5 (116th Congress), Oregon","844006","6712"
"5001600US4201","Congressional District 1 (116th Congress), Pennsylvania","713685","4989"
"5001600US4202","Congressional District 2 (116th Congress), Pennsylvania","727380","18436"
"5001600US4203","Congressional District 3 (116th Congress), Pennsylvania","736340","16089"
"5001600US4204","Congressional District 4 (116th Congress), Pennsylvania","727449","6126"
"5001600US4205","Congressional District 5 (116th Congress), Pennsylvania","718076","9863"
"5001600US4206","Congressional District 6 (116th Congress), Pennsylvania","734876","5212"
"5001600US4207","Congressional District 7 (116th Congress), Pennsylvania","731168","5238"
"5001600US4208","Congressional District 8 (116th Congress), Pennsylvania","696956","6350"
"5001600US4209","Congressional District 9 (116th Congress), Pennsylvania","702489","7165"
"5001600US4210","Congressional District 10 (116th Congress), Pennsylvania","734849","6842"
"5001600US4211","Congressional District 11 (116th Congress), Pennsylvania","737394","6387"
"5001600US4212","Congressional District 12 (116th Congress), Pennsylvania","701192","4665"
"5001600US4213","Congressional District 13 (116th Congress), Pennsylvania","692835","5581"
"5001600US4214","Congressional District 14 (116th Congress), Pennsylvania","684084","3546"
"5001600US4215","Congressional District 15 (116th Congress), Pennsylvania","680927","6262"
"5001600US4216","Congressional District 16 (116th Congress), Pennsylvania","686525","3479"
"5001600US4217","Congressional District 17 (116th Congress), Pennsylvania","717264","7902"
"5001600US4218","Congressional District 18 (116th Congress), Pennsylvania","683571","7556"
"5001600US4401","Congressional District 1 (116th Congress), Rhode Island","532590","8721"
"5001600US4402","Congressional District 2 (116th Congress), Rhode Island","524725","8721"
"5001600US4501","Congressional District 1 (116th Congress), South Carolina","809610","7416"
"5001600US4502","Congressional District 2 (116th Congress), South Carolina","717231","9964"
"5001600US4503","Congressional District 3 (116th Congress), South Carolina","697467","6542"
"5001600US4504","Congressional District 4 (116th Congress), South Carolina","736750","7453"
"5001600US4505","Congressional District 5 (116th Congress), South Carolina","731341","5052"
"5001600US4506","Congressional District 6 (116th Congress), South Carolina","659483","13295"
"5001600US4507","Congressional District 7 (116th Congress), South Carolina","732245","3248"
"5001600US4600","Congressional District (at Large) (116th Congress), South Dakota","882235","*****"
"5001600US4701","Congressional District 1 (116th Congress), Tennessee","720358","2768"
"5001600US4702","Congressional District 2 (116th Congress), Tennessee","753229","3114"
"5001600US4703","Congressional District 3 (116th Congress), Tennessee","736889","4659"
"5001600US4704","Congressional District 4 (116th Congress), Tennessee","798482","5395"
"5001600US4705","Congressional District 5 (116th Congress), Tennessee","777696","1686"
"5001600US4706","Congressional District 6 (116th Congress), Tennessee","784725","2788"
"5001600US4707","Congressional District 7 (116th Congress), Tennessee","786523","3975"
"5001600US4708","Congressional District 8 (116th Congress), Tennessee","699385","5457"
"5001600US4709","Congressional District 9 (116th Congress), Tennessee","712723","5101"
"5001600US4801","Congressional District 1 (116th Congress), Texas","725555","4681"
"5001600US4802","Congressional District 2 (116th Congress), Texas","803041","23478"
"5001600US4803","Congressional District 3 (116th Congress), Texas","899784","8289"
"5001600US4804","Congressional District 4 (116th Congress), Texas","759648","7731"
"5001600US4805","Congressional District 5 (116th Congress), Texas","749808","11072"
"5001600US4806","Congressional District 6 (116th Congress), Texas","804816","15813"
"5001600US4807","Congressional District 7 (116th Congress), Texas","775198","28663"
"5001600US4808","Congressional District 8 (116th Congress), Texas","871420","12276"
"5001600US4809","Congressional District 9 (116th Congress), Texas","786925","29478"
"5001600US4810","Congressional District 10 (116th Congress), Texas","896798","24121"
"5001600US4811","Congressional District 11 (116th Congress), Texas","782337","6209"
"5001600US4812","Congressional District 12 (116th Congress), Texas","812102","15762"
"5001600US4813","Congressional District 13 (116th Congress), Texas","711672","4745"
"5001600US4814","Congressional District 14 (116th Congress), Texas","763380","8826"
"5001600US4815","Congressional District 15 (116th Congress), Texas","795511","13153"
"5001600US4816","Congressional District 16 (116th Congress), Texas","733764","7877"
"5001600US4817","Congressional District 17 (116th Congress), Texas","793513","11152"
"5001600US4818","Congressional District 18 (116th Congress), Texas","801885","24004"
"5001600US4819","Congressional District 19 (116th Congress), Texas","731759","6458"
"5001600US4820","Congressional District 20 (116th Congress), Texas","846337","22034"
"5001600US4821","Congressional District 21 (116th Congress), Texas","818281","19731"
"5001600US4822","Congressional District 22 (116th Congress), Texas","935386","21358"
"5001600US4823","Congressional District 23 (116th Congress), Texas","794879","16077"
"5001600US4824","Congressional District 24 (116th Congress), Texas","817147","11209"
"5001600US4825","Congressional District 25 (116th Congress), Texas","786976","16986"
"5001600US4826","Congressional District 26 (116th Congress), Texas","894192","9804"
"5001600US4827","Congressional District 27 (116th Congress), Texas","739719","7422"
"5001600US4828","Congressional District 28 (116th Congress), Texas","768719","15326"
"5001600US4829","Congressional District 29 (116th Congress), Texas","765435","23892"
"5001600US4830","Congressional District 30 (116th Congress), Texas","804679","19379"
